Zona,SubZona,Jenis,KDB Maks (%),KDH Min (%),KLB Maks,KTB Maks (%),Luas Kavling Min (m2)
Zona Lindung,Badan Air,-,,,,,
Zona Lindung,Hutan Lindung,-,,,,,
Zona Lindung,Perlindungan Setempat,-,10.0,90.0,0.1,,
Zona Lindung,Taman Kelurahan,-,20.0,80.0,0.2,,
Zona Lindung,Taman RW,-,20.0,80.0,0.2,,
Zona Lindung,Taman RT,-,20.0,80.0,0.2,,
Zona Lindung,Pemakaman,-,20.0,80.0,0.2,,
Zona Lindung,Jalur Hijau,-,,95.0,,,
Zona Lindung,Cagar Budaya,-,60.0,30.0,0.6,,
Zona Lindung,Ekosistem Mangrove,-,,80.0,,,
Zona Budidaya,Badan Jalan,-,,,,,
Zona Budidaya,Hutan Produksi Tetap,-,,,,,
Zona Budidaya,Hutan Produksi yang dapat Dikonversi,-,,,,,
Zona Budidaya,Perkebunan,-,40.0,60.0,0.4,,
Zona Budidaya,Peternakan,-,40.0,60.0,1.2,,
Zona Budidaya,Pertambangan Mineral Bukan Logam,-,40.0,60.0,1.2,,
Zona Budidaya,Kawasan Peruntukan Industri,-,60.0,30.0,1.8,,
Zona Budidaya,Pariwisata,persil disebelah barat jalan Nasional,50.0,40.0,2.0,,
Zona Budidaya,Pariwisata,persil disebelah timur jalan Nasional,50.0,40.0,1.0,,
Zona Budidaya,Pariwisata,pariwisata Desa Berakit,50.0,40.0,2.0,,
Zona Budidaya,Perumahan Kepadatan Tinggi,-,80.0,20.0,2.4,,120.0
Zona Budidaya,Perumahan Kepadatan Sedang,-,70.0,20.0,2.1,,150.0
Zona Budidaya,Perumahan Kepadatan Rendah,-,60.0,30.0,1.8,,150.0
Zona Budidaya,SPU Skala Kota,-,80.0,20.0,2.4,,
Zona Budidaya,SPU Skala Kecamatan,-,80.0,20.0,2.4,,
Zona Budidaya,SPU Skala Kelurahan,-,70.0,20.0,2.1,,
Zona Budidaya,SPU Skala RW,-,60.0,30.0,1.8,,
Zona Budidaya,Ruang Terbuka Non Hijau,-,20.0,30.0,0.2,,
Zona Budidaya,Perdagangan dan Jasa Skala WP,persil disebelah barat jalan Nasional,80.0,20.0,3.2,,
Zona Budidaya,Perdagangan dan Jasa Skala WP,persil disebelah timur jalan Nasional,70.0,20.0,1.4,,
Zona Budidaya,Perdagangan dan Jasa Skala SWP,persil disebelah barat jalan Nasional,80.0,20.0,3.2,,
Zona Budidaya,Perdagangan dan Jasa Skala SWP,persil disebelah timur jalan Nasional,70.0,20.0,1.4,,
Zona Budidaya,Perkantoran,-,70.0,20.0,2.1,,
Zona Budidaya,Transportasi,-,60.0,20.0,1.8,,
Zona Budidaya,Pertahanan dan Keamanan,-,,,,,
